shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
60922,33.714445,-117.761204,725
60922,33.714374,-117.761101,726
60922,33.714287,-117.761187,727
60922,33.714205,-117.761269,728
60922,33.713258,-117.762213,729
60922,33.712787,-117.762692,730
60922,33.71272,-117.76276,731
60922,33.712632,-117.762851,732
60922,33.712548,-117.762932,733
60922,33.712392,-117.763086,734
60922,33.712229,-117.763248,735
60922,33.712025,-117.763443,736
60922,33.711876,-117.763589,737
60922,33.711782,-117.763688,738
60922,33.711683,-117.76379,739
60922,33.71158,-117.763906,740
60922,33.711447,-117.764076,741
60922,33.71127,-117.764329,742
60922,33.711152,-117.76452,743
60922,33.711074,-117.76467,744
60922,33.711019,-117.764777,745
60922,33.710929,-117.765005,746
60922,33.710853,-117.765215,747
60922,33.71078,-117.765447,748
60922,33.710766,-117.765496,749
60922,33.710523,-117.766347,750
60922,33.710367,-117.766893,751
60922,33.710332,-117.767014,752
60922,33.710292,-117.767154,753
60922,33.710205,-117.767439,754
60922,33.710125,-117.767695,755
60922,33.710096,-117.767791,756
60922,33.710059,-117.767911,757
60922,33.710055,-117.767921,758
60922,33.710002,-117.768035,759
60922,33.709957,-117.768129,760
60922,33.709903,-117.768243,761
60922,33.709754,-117.768514,762
60922,33.709679,-117.768634,763
60922,33.709493,-117.768897,764
60922,33.709266,-117.769161,765
60922,33.70879,-117.769642,766
60922,33.70786,-117.770549,767
60922,33.707426,-117.770985,768
60922,33.707362,-117.771049,769
60922,33.707275,-117.771136,770
60922,33.707207,-117.771209,771
60922,33.70707,-117.771355,772
60922,33.707044,-117.77138,773
60922,33.706897,-117.771522,774
60922,33.706803,-117.771603,775
60922,33.706676,-117.771701,776
60922,33.706507,-117.771821,777
60922,33.706314,-117.771941,778
60922,33.706093,-117.77206,779
60922,33.705858,-117.772155,780
60922,33.70568,-117.77221,781
60922,33.705515,-117.772257,782
60922,33.705245,-117.772309,783
60922,33.704988,-117.772341,784
60922,33.704628,-117.772384,785
60922,33.704517,-117.772399,786
60922,33.704468,-117.772406,787
60922,33.704141,-117.772454,788
60922,33.703995,-117.772474,789
60922,33.703883,-117.772493,790
